ticket_id,payment_method,food_expense,drink_expense,merch_expense,total_spent
1,Card,62.79,58.37,164.06,285.22
2,Card,27.45,57.04,48.7,133.19
3,Card,67.13,127.74,144.38,339.25
4,Cash,87.17,77.92,95.11,260.2
5,Card,65.26,49.8,60.6,175.66
6,Cash,93.03,64.8,105.15,262.98
7,Festival App,13.34,30.58,22.16,66.08
8,Card,6.32,47.45,67.61,121.38
9,Card,59.49,82.28,61.68,203.45
10,Cash,31.1,36.28,26.65,94.03
11,Card,43.17,36.4,139.24,218.81
12,Card,46.31,61.98,69.8,178.09
13,Card,8.89,59.87,99.05,167.81
14,Card,38.76,50.53,71.27,160.56
15,Card,6.99,20.3,107.42,134.71
16,Card,65.83,76.17,169.4,311.4
17,Card,72.31,55.29,113.46,241.06
18,Card,14.11,9.25,3.51,26.87
19,Card,36.05,9.0,35.05,80.1
20,Cash,15.39,37.57,173.41,226.37
21,Cash,45.26,96.16,70.76,212.18
22,Cash,36.86,57.03,53.74,147.63
23,Card,69.32,92.69,136.59,298.6
24,Card,79.1,26.31,151.89,257.3
25,Card,42.76,28.63,22.54,93.93
26,Cash,45.35,19.68,92.91,157.94
27,Card,49.01,166.6,184.68,400.29
28,Card,55.5,107.08,143.58,306.16
29,Card,43.07,35.6,121.54,200.21
30,Card,13.41,50.44,67.26,131.11
31,Card,50.09,44.01,62.74,156.84
32,Card,45.5,123.6,164.4,333.5
33,Card,38.61,5.57,84.48,128.66
34,Card,18.71,45.48,4.27,68.46
35,Cash,44.24,12.38,8.67,65.29
36,Card,48.04,32.32,44.03,124.39
37,Card,36.89,80.89,112.08,229.86
38,Card,41.45,7.18,26.79,75.42
39,Card,48.13,38.57,17.0,103.7
40,Card,114.89,60.39,152.59,327.87
41,Card,36.31,4.6,67.21,108.12
42,Card,62.41,26.33,114.51,203.25
43,Cash,17.94,37.54,94.2,149.68
44,Card,30.75,57.29,75.52,163.56
45,Card,8.86,15.32,55.41,79.59
