ticket_id,gender,age,age_group,group_size,group_type,ticket_type,is_multiday,favourite_genre,recommend_to_friend
1,Male,27,25-34,2,Couple,3-day Pass,True,Pop,True
2,Male,22,18-24,1,Individual,3-day Pass,True,Pop,True
3,Female,20,18-24,5,Group,VIP,True,Rock,True
4,Female,18,18-24,4,Group,3-day Pass,True,Hip-Hop,False
5,Male,26,25-34,5,Group,3-day Pass,True,Hip-Hop,True
6,Male,18,18-24,4,Group,3-day Pass,True,Rock,True
7,Female,26,25-34,2,Couple,1-day Pass,False,Rock,True
8,Male,18,18-24,4,Group,3-day Pass,True,Rock,True
9,Female,28,25-34,5,Group,1-day Pass,False,Rock,False
10,Female,18,18-24,3,Group,VIP,True,Pop,False
11,Male,18,18-24,5,Group,VIP,True,Rock,True
12,Female,21,18-24,2,Couple,3-day Pass,True,Reggaeton,False
13,Female,23,18-24,1,Individual,VIP,True,Hip-Hop,True
14,Female,26,25-34,5,Group,3-day Pass,True,Hip-Hop,True
15,Female,22,18-24,4,Group,1-day Pass,False,Pop,True
16,Female,18,18-24,3,Group,3-day Pass,True,Rock,True
17,Female,26,25-34,4,Group,3-day Pass,True,Rock,False
18,Female,30,25-34,3,Group,3-day Pass,True,Hip-Hop,False
19,Male,21,18-24,3,Group,VIP,True,Rock,False
20,Male,22,18-24,4,Group,3-day Pass,True,Pop,True
21,Male,21,18-24,3,Group,3-day Pass,True,Rock,False
22,Female,23,18-24,4,Group,VIP,True,Pop,True
23,Female,18,18-24,3,Group,1-day Pass,False,Pop,True
24,Male,25,25-34,5,Group,VIP,True,Rock,False
25,Female,30,25-34,2,Couple,3-day Pass,True,Rock,True
26,Male,28,25-34,5,Group,1-day Pass,False,Pop,True
27,Female,23,18-24,3,Group,1-day Pass,False,Rock,True
28,Male,30,25-34,2,Couple,3-day Pass,True,Rock,True
29,Male,21,18-24,3,Group,1-day Pass,False,Electronic,False
30,Female,20,18-24,4,Group,3-day Pass,True,Pop,False
31,Male,18,18-24,2,Couple,1-day Pass,False,Pop,True
32,Male,24,18-24,5,Group,VIP,True,Pop,False
33,Male,19,18-24,3,Group,1-day Pass,False,Pop,True
34,Female,25,25-34,2,Couple,1-day Pass,False,Reggaeton,True
35,Male,31,25-34,2,Couple,3-day Pass,True,Pop,True
36,Female,30,25-34,4,Group,3-day Pass,True,Pop,True
37,Female,26,25-34,3,Group,1-day Pass,False,Rock,True
38,Female,18,18-24,5,Group,3-day Pass,True,Rock,False
39,Female,29,25-34,2,Couple,1-day Pass,False,Pop,True
40,Female,25,25-34,4,Group,1-day Pass,False,Hip-Hop,True
41,Female,22,18-24,5,Group,3-day Pass,True,Rock,True
42,Female,28,25-34,3,Group,3-day Pass,True,Rock,True
43,Male,18,18-24,5,Group,3-day Pass,True,Reggaeton,True
44,Female,29,25-34,3,Group,1-day Pass,False,Hip-Hop,True
45,Male,27,25-34,5,Group,3-day Pass,True,Rock,False
46,Female,23,18-24,4,Group,VIP,True,Rock,False
47,Male,30,25-34,3,Group,VIP,True,Pop,True
48,Other,22,18-24,4,Group,1-day Pass,False,Pop,True
49,Male,22,18-24,3,Group,3-day Pass,True,Pop,True
50,Male,32,25-34,5,Group,1-day Pass,False,Hip-Hop,True
51,Male,27,25-34,4,Group,3-day Pass,True,Rock,False
52,Male,20,18-24,3,Group,3-day Pass,True,Hip-Hop,False
53,Female,29,25-34,2,Couple,VIP,True,Hip-Hop,True
54,Male,31,25-34,4,Group,3-day Pass,True,Electronic,True
55,Female,33,25-34,4,Group,3-day Pass,True,Pop,True
56,Female,24,18-24,3,Group,VIP,True,Hip-Hop,True
57,Female,25,25-34,3,Group,3-day Pass,True,Hip-Hop,True
58,Female,28,25-34,3,Group,VIP,True,Rock,True
59,Female,20,18-24,3,Group,3-day Pass,True,Rock,True
60,Female,24,18-24,4,Group,3-day Pass,True,Hip-Hop,True
61,Male,24,18-24,4,Group,1-day Pass,False,Rock,False
62,Male,30,25-34,5,Group,3-day Pass,True,Rock,False
63,Female,26,25-34,3,Group,1-day Pass,False,Rock,True
64,Female,24,18-24,3,Group,3-day Pass,True,Electronic,False
65,Female,25,25-34,4,Group,VIP,True,Rock,True
66,Male,26,25-34,3,Group,3-day Pass,True,Rock,True
67,Male,27,25-34,1,Individual,3-day Pass,True,Rock,True
68,Female,23,18-24,4,Group,VIP,True,Reggaeton,True
69,Other,23,18-24,2,Couple,1-day Pass,False,Rock,False
70,Female,23,18-24,2,Couple,3-day Pass,True,Pop,False
71,Female,27,25-34,2,Couple,1-day Pass,False,Rock,True
72,Male,18,18-24,4,Group,3-day Pass,True,Pop,True
73,Female,30,25-34,5,Group,3-day Pass,True,Pop,True
74,Male,18,18-24,3,Group,1-day Pass,False,Rock,True
75,Male,25,25-34,5,Group,VIP,True,Hip-Hop,True
76,Female,30,25-34,3,Group,1-day Pass,False,Pop,True
77,Female,25,25-34,4,Group,3-day Pass,True,Reggaeton,False
78,Male,18,18-24,2,Couple,3-day Pass,True,Reggaeton,True
79,Female,28,25-34,3,Group,3-day Pass,True,Rock,False
80,Female,26,25-34,5,Group,1-day Pass,False,Rock,True
81,Female,28,25-34,2,Couple,VIP,True,Reggaeton,False
82,Female,24,18-24,4,Group,VIP,True,Electronic,True
83,Male,30,25-34,3,Group,1-day Pass,False,Pop,False
84,Female,18,18-24,2,Couple,3-day Pass,True,Rock,False
85,Female,25,25-34,4,Group,3-day Pass,True,Pop,True
86,Female,26,25-34,5,Group,1-day Pass,False,Reggaeton,True
87,Female,27,25-34,2,Couple,3-day Pass,True,Pop,True
88,Female,23,18-24,4,Group,3-day Pass,True,Hip-Hop,False
89,Female,25,25-34,1,Individual,1-day Pass,False,Electronic,True
90,Female,26,25-34,5,Group,3-day Pass,True,Hip-Hop,False
91,Male,28,25-34,4,Group,3-day Pass,True,Pop,True
92,Female,33,25-34,5,Group,3-day Pass,True,Rock,True
93,Female,21,18-24,5,Group,1-day Pass,False,Rock,False
94,Female,20,18-24,3,Group,3-day Pass,True,Hip-Hop,True
95,Male,20,18-24,2,Couple,1-day Pass,False,Hip-Hop,True
96,Female,21,18-24,2,Couple,VIP,True,Electronic,True
97,Female,31,25-34,3,Group,3-day Pass,True,Pop,True
98,Other,18,18-24,4,Group,3-day Pass,True,Hip-Hop,True
99,Female,20,18-24,4,Group,VIP,True,Pop,True
100,Male,26,25-34,4,Group,3-day Pass,True,Rock,True
101,Male,23,18-24,2,Couple,VIP,True,Pop,False
102,Female,23,18-24,3,Group,VIP,True,Pop,True
103,Female,25,25-34,3,Group,3-day Pass,True,Hip-Hop,False
104,Male,18,18-24,4,Group,3-day Pass,True,Hip-Hop,False
105,Female,31,25-34,5,Group,3-day Pass,True,Pop,True
106,Female,18,18-24,4,Group,3-day Pass,True,Hip-Hop,False
