ticket_id,attendance_date,gender,age,age_group,ticket_type,favourite_genre,group_size,group_type,is_multiday,recommend_to_friend
1,2025-05-02,Male,27,25-34,3-day Pass,Pop,2,Couple,True,True
2,2025-05-03,Male,22,18-24,3-day Pass,Pop,1,Individual,True,True
3,2025-05-03,Female,20,18-24,VIP,Rock,5,Group,True,True
4,2025-05-01,Female,18,18-24,3-day Pass,Hip-Hop,4,Group,True,False
5,2025-05-01,Male,26,25-34,3-day Pass,Hip-Hop,5,Group,True,True
6,2025-05-03,Male,18,18-24,3-day Pass,Rock,4,Group,True,True
7,2025-05-02,Female,26,25-34,1-day Pass,Rock,2,Couple,False,True
8,2025-05-01,Male,18,18-24,3-day Pass,Rock,4,Group,True,True
9,2025-05-02,Female,28,25-34,1-day Pass,Rock,5,Group,False,False
10,2025-05-01,Female,18,18-24,VIP,Pop,3,Group,True,False
11,2025-05-01,Male,18,18-24,VIP,Rock,5,Group,True,True
12,2025-05-03,Female,21,18-24,3-day Pass,Reggaeton,2,Couple,True,False
13,2025-05-02,Female,23,18-24,VIP,Hip-Hop,1,Individual,True,True
14,2025-05-03,Female,26,25-34,3-day Pass,Hip-Hop,5,Group,True,True
15,2025-05-02,Female,22,18-24,1-day Pass,Pop,4,Group,False,True
16,2025-05-03,Female,18,18-24,3-day Pass,Rock,3,Group,True,True
17,2025-05-03,Female,26,25-34,3-day Pass,Rock,4,Group,True,False
18,2025-05-03,Female,30,25-34,3-day Pass,Hip-Hop,3,Group,True,False
19,2025-05-02,Male,21,18-24,VIP,Rock,3,Group,True,False
20,2025-05-03,Male,22,18-24,3-day Pass,Pop,4,Group,True,True
21,2025-05-02,Male,21,18-24,3-day Pass,Rock,3,Group,True,False
22,2025-05-01,Female,23,18-24,VIP,Pop,4,Group,True,True
23,2025-05-01,Female,18,18-24,1-day Pass,Pop,3,Group,False,True
24,2025-05-03,Male,25,25-34,VIP,Rock,5,Group,True,False
25,2025-05-02,Female,30,25-34,3-day Pass,Rock,2,Couple,True,True
26,2025-05-03,Male,28,25-34,1-day Pass,Pop,5,Group,False,True
27,2025-05-03,Female,23,18-24,1-day Pass,Rock,3,Group,False,True
28,2025-05-03,Male,30,25-34,3-day Pass,Rock,2,Couple,True,True
29,2025-05-01,Male,21,18-24,1-day Pass,Electronic,3,Group,False,False
30,2025-05-02,Female,20,18-24,3-day Pass,Pop,4,Group,True,False
31,2025-05-03,Male,18,18-24,1-day Pass,Pop,2,Couple,False,True
32,2025-05-01,Male,24,18-24,VIP,Pop,5,Group,True,False
33,2025-05-02,Male,19,18-24,1-day Pass,Pop,3,Group,False,True
