ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend
TCK102187,3-day Pass,2025-05-02,18,Female,5,15.38,50.74,78.35,Cash,Pop,8,10,6,True
TCK105186,3-day Pass,2025-05-03,28,Male,3,27.45,57.04,48.7,Card,Pop,9,8,9,True
TCK107469,3-day Pass,2025-05-03,20,Female,4,12.38,45.05,56.57,Card,Rock,4,10,8,True
TCK102961,3-day Pass,2025-05-01,18,Female,3,47.83,53.21,10.78,Cash,Hip-Hop,5,8,2,False
TCK107515,3-day Pass,2025-05-01,28,Male,1,37.65,18.95,11.05,Festival App,Hip-Hop,1,7,3,True
TCK100898,3-day Pass,2025-05-03,25,Male,3,44.24,37.72,50.84,Card,Rock,8,8,7,True
TCK108801,1-day Pass,2025-05-02,28,Female,4,13.34,30.58,22.16,Card,Rock,8,7,1,True
TCK100657,3-day Pass,2025-05-01,25,Female,2,6.32,47.45,67.61,Cash,Rock,7,8,10,True
TCK108250,1-day Pass,2025-05-02,27,Female,4,20.44,28.24,6.47,Card,Rock,8,7,5,False
TCK105004,VIP,2025-05-01,30,Female,3,31.1,36.28,26.65,Card,Pop,6,8,6,False
TCK108993,VIP,2025-05-01,26,Female,5,42.46,8.16,67.05,Cash,Rock,3,8,2,True
TCK104603,3-day Pass,2025-05-03,22,Male,3,13.58,13.84,3.05,Card,Reggaeton,7,6,5,False
TCK100496,VIP,2025-05-02,24,Female,3,8.89,59.87,99.05,Cash,Hip-Hop,5,8,4,True
TCK103576,3-day Pass,2025-05-03,22,Female,4,38.76,50.53,71.27,Card,Hip-Hop,2,9,3,True
TCK102315,1-day Pass,2025-05-02,23,Female,3,6.15,19.89,83.46,Cash,Pop,8,10,2,True
TCK100316,3-day Pass,2025-05-03,18,Female,4,19.3,18.68,98.17,Card,Rock,9,7,3,True
TCK106047,3-day Pass,2025-05-03,18,Female,2,49.6,7.96,14.78,Card,Rock,6,7,2,False
TCK100146,3-day Pass,2025-05-03,25,Female,5,14.11,9.25,3.51,Card,Hip-Hop,3,7,6,False
TCK106867,VIP,2025-05-02,28,Male,4,36.05,9.0,35.05,Card,Rock,8,7,5,False
TCK105757,3-day Pass,2025-05-03,27,Male,5,9.28,31.41,99.16,Card,Pop,6,5,6,True
TCK104652,3-day Pass,2025-05-02,30,Male,2,27.26,56.65,67.6,Card,Rock,8,7,4,False
TCK108976,VIP,2025-05-01,26,Female,4,17.05,35.13,52.02,Cash,Pop,8,7,3,True
TCK102620,1-day Pass,2025-05-01,18,Female,2,29.57,41.24,56.78,Card,Pop,3,8,7,True
TCK105231,VIP,2025-05-03,32,Male,2,41.33,4.62,73.88,Card,Rock,9,8,2,False
TCK106064,3-day Pass,2025-05-02,18,Female,3,42.76,28.63,22.54,Cash,Rock,5,7,3,True
TCK100529,1-day Pass,2025-05-03,21,Other,2,45.35,19.68,92.91,Card,Pop,1,8,5,True
TCK104453,1-day Pass,2025-05-03,26,Female,3,9.27,53.1,77.98,Cash,Rock,8,6,7,True
TCK107531,3-day Pass,2025-05-03,25,Male,1,43.51,58.61,53.85,Card,Rock,7,10,3,True
TCK103007,1-day Pass,2025-05-01,33,Male,4,42.3,33.9,75.65,Card,Electronic,1,8,6,False
TCK108397,3-day Pass,2025-05-02,22,Female,3,13.41,50.44,67.26,Cash,Pop,8,6,3,False
TCK107070,1-day Pass,2025-05-03,25,Male,4,42.97,38.81,58.37,Card,Pop,1,8,4,True
