ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_rating,security_rating,cleanliness_rating,recommend_to_friend,spent_that_day,mean_rating,is_multiday,age_group,satisfaction_level,cleanliness_level,security_level,group_type
1,3-day Pass,2025-05-02,27,Male,2,15.38,50.74,78.35,Card,Pop,4.0,6.5,7.0,True,144.47,5.83,True,25-34,Low,Medium,Medium,Couple
2,3-day Pass,2025-05-03,22,Male,1,27.45,57.04,48.7,Card,Pop,5.0,9.0,3.0,True,133.19,5.67,True,18-24,Low,Low,High,Individual
3,VIP,2025-05-03,20,Female,5,12.38,45.05,56.57,Card,Rock,4.33,6.0,6.33,True,114.0,5.55,True,18-24,Low,Medium,Medium,Group
4,3-day Pass,2025-05-01,18,Female,4,47.83,53.21,10.78,Cash,Hip-Hop,7.5,7.0,6.5,False,111.82,7.0,True,18-24,Medium,Medium,Medium,Group
5,3-day Pass,2025-05-01,26,Male,5,37.65,18.95,11.05,Card,Hip-Hop,6.0,7.0,6.0,True,67.65,6.33,True,25-34,Medium,Medium,Medium,Group
6,3-day Pass,2025-05-03,18,Male,4,44.24,37.72,50.84,Cash,Rock,4.5,8.0,4.5,True,132.8,5.67,True,18-24,Low,Low,Medium,Group
7,1-day Pass,2025-05-02,26,Female,2,13.34,30.58,22.16,Festival App,Rock,8.0,6.0,3.0,True,66.08,5.67,False,25-34,Medium,Low,Medium,Couple
8,3-day Pass,2025-05-01,18,Male,4,6.32,47.45,67.61,Card,Rock,4.0,7.0,5.0,True,121.38,5.33,True,18-24,Low,Low,Medium,Group
9,1-day Pass,2025-05-02,28,Female,5,20.44,28.24,6.47,Card,Rock,1.0,7.0,8.0,False,55.15,5.33,False,25-34,Low,Medium,Medium,Group
10,VIP,2025-05-01,18,Female,3,31.1,36.28,26.65,Cash,Pop,4.0,9.0,4.0,False,94.03,5.67,True,18-24,Low,Low,High,Group
11,VIP,2025-05-01,18,Male,5,42.46,8.16,67.05,Card,Rock,6.0,8.5,3.5,True,117.67,6.0,True,18-24,Medium,Low,High,Group
12,3-day Pass,2025-05-03,21,Female,2,13.58,13.84,3.05,Card,Reggaeton,10.0,6.5,7.0,False,30.47,7.83,True,18-24,High,Medium,Medium,Couple
13,VIP,2025-05-02,23,Female,1,8.89,59.87,99.05,Card,Hip-Hop,1.0,10.0,7.0,True,167.81,6.0,True,18-24,Low,Medium,High,Individual
14,3-day Pass,2025-05-03,26,Female,5,38.76,50.53,71.27,Card,Hip-Hop,5.0,10.0,2.0,True,160.56,5.67,True,25-34,Low,Low,High,Group
15,1-day Pass,2025-05-02,22,Female,4,6.15,19.89,83.46,Card,Pop,8.5,8.5,7.0,True,109.5,8.0,False,18-24,High,Medium,High,Group
16,3-day Pass,2025-05-03,18,Female,3,19.3,18.68,98.17,Card,Rock,2.0,7.5,4.5,True,136.15,4.67,True,18-24,Low,Low,Medium,Group
17,3-day Pass,2025-05-03,26,Female,4,49.6,7.96,14.78,Card,Rock,6.5,9.5,2.5,False,72.34,6.17,True,25-34,Medium,Low,High,Group
18,3-day Pass,2025-05-03,30,Female,3,14.11,9.25,3.51,Card,Hip-Hop,8.0,8.0,2.0,False,26.87,6.0,True,25-34,Medium,Low,Medium,Group
19,VIP,2025-05-02,21,Male,3,36.05,9.0,35.05,Card,Rock,8.0,7.0,8.0,False,80.1,7.67,True,18-24,Medium,Medium,Medium,Group
