ticket_id,food_expense,drink_expense,merch_expense,total_spent,payment_method_id
1,15.38,50.74,78.35,144.47,1
2,27.45,57.04,48.7,133.19,2
3,12.38,45.05,56.57,114.0,2
4,47.83,53.21,10.78,111.82,1
5,37.65,18.95,11.05,67.65,3
6,44.24,37.72,50.84,132.8,2
7,13.34,30.58,22.16,66.08,2
8,6.32,47.45,67.61,121.38,1
9,20.44,28.24,6.47,55.15,2
10,31.1,36.28,26.65,94.03,2
11,42.46,8.16,67.05,117.67,1
12,13.58,13.84,3.05,30.47,2
13,8.89,59.87,99.05,167.81,1
14,38.76,50.53,71.27,160.56,2
15,6.15,19.89,83.46,109.5,1
16,19.3,18.68,98.17,136.15,2
17,49.6,7.96,14.78,72.34,2
18,14.11,9.25,3.51,26.87,2
19,36.05,9.0,35.05,80.1,2
20,9.28,31.41,99.16,139.85,2
21,27.26,56.65,67.6,151.51,2
22,17.05,35.13,52.02,104.2,1
23,29.57,41.24,56.78,127.59,2
24,41.33,4.62,73.88,119.83,2
25,42.76,28.63,22.54,93.93,1
26,45.35,19.68,92.91,157.94,2
27,9.27,53.1,77.98,140.35,1
28,43.51,58.61,53.85,155.97,2
29,42.3,33.9,75.65,151.85,2
30,13.41,50.44,67.26,131.11,1
31,42.97,38.81,58.37,140.15,2
32,18.62,59.62,82.56,160.8,2
33,19.69,2.53,57.08,79.3,2
34,18.71,45.48,4.27,68.46,1
35,44.24,12.38,8.67,65.29,2
36,48.04,32.32,44.03,124.39,2
37,9.4,36.3,28.84,74.54,2
38,41.45,7.18,26.79,75.42,2
39,48.13,38.57,17.0,103.7,1
40,30.4,8.58,7.04,46.02,1
41,36.31,4.6,67.21,108.12,2
42,29.48,8.54,20.74,58.76,1
43,17.94,37.54,94.2,149.68,2
44,30.75,57.29,75.52,163.56,2
45,8.86,15.32,55.41,79.59,2
46,11.37,7.41,68.27,87.05,2
47,45.53,37.76,67.23,150.52,2
48,20.16,50.51,21.8,92.47,2
49,24.7,12.29,75.64,112.63,2
50,36.43,39.62,55.32,131.37,2
51,31.66,29.14,91.11,151.91,2
52,20.98,9.08,38.31,68.37,2
53,26.33,23.98,24.38,74.69,2
54,17.69,33.3,11.93,62.92,2
55,22.48,41.08,38.64,102.2,1
56,17.01,2.72,89.26,108.99,2
57,10.86,8.83,80.5,100.19,1
58,23.6,18.99,56.63,99.22,1
59,38.62,11.79,29.03,79.44,2
60,28.3,56.06,87.44,171.8,2
61,9.32,20.25,45.21,74.78,2
62,8.16,37.39,40.76,86.31,2
63,24.11,32.37,91.94,148.42,2
64,38.44,9.57,61.3,109.31,1
65,25.86,20.18,87.82,133.86,1
66,11.53,39.17,43.22,93.92,1
67,30.81,46.19,30.87,107.87,2
68,40.19,4.99,0.86,46.04,2
69,3.53,41.61,48.28,93.42,2
70,34.61,1.3,35.53,71.44,2
71,14.69,58.81,8.94,82.44,2
72,34.34,42.87,97.75,174.96,2
73,13.83,10.65,52.62,77.1,1
74,7.12,38.98,9.49,55.59,2
75,40.34,13.05,43.75,97.14,2
76,3.74,12.0,81.99,97.73,2
77,45.7,17.97,22.74,86.41,2
78,35.81,53.67,65.75,155.23,2
79,40.8,39.59,87.04,167.43,2
80,28.93,9.91,37.87,76.71,2
81,41.66,55.92,81.8,179.38,2
82,15.57,25.26,72.62,113.45,2
83,6.66,51.67,36.98,95.31,1
84,39.98,56.54,74.5,171.02,2
85,0.24,26.48,88.36,115.08,3
86,45.15,37.9,57.71,140.76,2
87,31.1,33.72,69.22,134.04,1
88,28.16,25.68,9.49,63.33,1
89,17.52,46.02,32.47,96.01,1
90,1.35,25.64,89.19,116.18,1
91,10.44,54.18,93.91,158.53,2
92,48.78,32.13,74.3,155.21,2
93,33.62,48.08,73.73,155.43,1
94,40.69,19.27,49.9,109.86,2
95,42.9,6.47,57.95,107.32,2
96,9.45,22.73,26.16,58.34,2
97,14.79,57.34,23.76,95.89,2
98,6.48,1.65,56.18,64.31,1
99,31.9,36.37,44.94,113.21,2
100,6.82,25.37,35.24,67.43,2
101,48.01,47.34,33.23,128.58,2
