ticket_id,satisfaction_score,security_rating,cleanliness_rating,mean_rating,satisfaction_level_id,cleanliness_rating_level_id,security_rating_level_id
1,8,10,6,8.0,2,2,3
2,9,8,9,8.67,3,3,2
3,4,10,8,7.33,1,2,3
4,5,8,2,5.0,1,1,2
5,1,7,3,3.67,1,1,2
6,8,8,7,7.67,2,2,2
7,8,7,1,5.33,2,1,2
8,7,8,10,8.33,2,3,2
9,8,7,5,6.67,2,1,2
10,6,8,6,6.67,2,2,2
11,3,8,2,4.33,1,1,2
12,7,6,5,6.0,2,1,2
13,5,8,4,5.67,1,1,2
14,2,9,3,4.67,1,1,3
15,8,10,2,6.67,2,1,3
16,9,7,3,6.33,3,1,2
17,6,7,2,5.0,2,1,2
18,3,7,6,5.33,1,2,2
19,8,7,5,6.67,2,1,2
20,6,5,6,5.67,2,2,1
21,8,7,4,6.33,2,1,2
22,8,7,3,6.0,2,1,2
23,3,8,7,6.0,1,2,2
24,9,8,2,6.33,3,1,2
25,5,7,3,5.0,1,1,2
26,1,8,5,4.67,1,1,2
27,8,6,7,7.0,2,2,2
28,7,10,3,6.67,2,1,3
29,1,8,6,5.0,1,2,2
30,8,6,3,5.67,2,1,2
31,1,8,4,4.33,1,1,2
32,8,8,7,7.67,2,2,2
33,4,7,6,5.67,1,2,2
34,5,6,5,5.33,1,1,2
35,8,8,3,6.33,2,1,2
36,8,7,2,5.67,2,1,2
37,8,9,7,8.0,2,2,3
38,9,9,6,8.0,3,2,3
39,8,8,1,5.67,2,1,2
40,8,8,8,8.0,2,2,2
41,4,6,1,3.67,1,1,2
42,2,7,9,6.0,1,3,2
43,1,9,2,4.0,1,1,3
44,4,7,4,5.0,1,1,2
45,8,9,9,8.67,2,3,3
46,4,9,1,4.67,1,1,3
47,5,8,9,7.33,1,3,2
48,8,2,5,5.0,2,1,1
49,3,9,9,7.0,1,3,3
50,2,8,7,5.67,1,2,2
51,8,7,3,6.0,2,1,2
52,7,9,6,7.33,2,2,3
53,6,7,3,5.33,2,1,2
54,9,8,10,9.0,3,3,2
55,2,9,7,6.0,1,2,3
56,3,6,3,4.0,1,1,2
57,8,6,1,5.0,2,1,2
58,8,9,2,6.33,2,1,3
59,1,7,2,3.33,1,1,2
60,8,10,7,8.33,2,2,3
61,8,5,2,5.0,2,1,1
62,6,9,6,7.0,2,2,3
63,2,7,5,4.67,1,1,2
64,8,10,3,7.0,2,1,3
65,5,6,2,4.33,1,1,2
66,5,8,7,6.67,1,2,2
67,5,7,6,6.0,1,2,2
68,8,8,3,6.33,2,1,2
69,8,9,9,8.67,2,3,3
70,4,10,2,5.33,1,1,3
71,7,5,7,6.33,2,2,1
72,8,10,9,9.0,2,3,3
73,8,9,8,8.33,2,2,3
74,8,7,6,7.0,2,2,2
75,8,9,5,7.33,2,1,3
