ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_rating,security_rating,cleanliness_rating,recommend_to_friend
1,3-day Pass,2025-05-02,27,Male,2,15.38,50.74,78.35,Card,Pop,4,8,6,True
2,3-day Pass,2025-05-03,22,Male,1,27.45,57.04,48.7,Card,Pop,5,9,3,True
3,VIP,2025-05-03,20,Female,5,12.38,45.05,56.57,Card,Rock,1,6,8,True
4,3-day Pass,2025-05-01,18,Female,4,47.83,53.21,10.78,Cash,Hip-Hop,8,9,10,False
5,3-day Pass,2025-05-01,26,Male,5,37.65,18.95,11.05,Card,Hip-Hop,8,8,4,True
6,3-day Pass,2025-05-03,18,Male,4,44.24,37.72,50.84,Cash,Rock,8,8,3,True
7,1-day Pass,2025-05-02,26,Female,2,13.34,30.58,22.16,Festival App,Rock,8,6,3,True
8,3-day Pass,2025-05-01,18,Male,4,6.32,47.45,67.61,Card,Rock,4,7,5,True
9,1-day Pass,2025-05-02,28,Female,5,20.44,28.24,6.47,Card,Rock,1,6,8,False
10,VIP,2025-05-01,18,Female,3,31.1,36.28,26.65,Cash,Pop,4,9,4,False
11,VIP,2025-05-01,18,Male,5,42.46,8.16,67.05,Card,Rock,3,9,4,True
12,3-day Pass,2025-05-03,21,Female,2,13.58,13.84,3.05,Card,Reggaeton,10,7,10,False
13,VIP,2025-05-02,23,Female,1,8.89,59.87,99.05,Card,Hip-Hop,1,10,7,True
14,3-day Pass,2025-05-03,26,Female,5,38.76,50.53,71.27,Card,Hip-Hop,5,10,2,True
15,1-day Pass,2025-05-02,22,Female,4,6.15,19.89,83.46,Card,Pop,7,9,10,True
16,3-day Pass,2025-05-03,18,Female,3,19.3,18.68,98.17,Card,Rock,3,6,4,True
17,3-day Pass,2025-05-03,26,Female,4,49.6,7.96,14.78,Card,Rock,8,10,3,False
18,3-day Pass,2025-05-03,30,Female,3,14.11,9.25,3.51,Card,Hip-Hop,8,8,2,False
19,VIP,2025-05-02,21,Male,3,36.05,9.0,35.05,Card,Rock,8,7,8,False
20,3-day Pass,2025-05-03,22,Male,4,9.28,31.41,99.16,Cash,Pop,8,8,9,True
21,3-day Pass,2025-05-02,21,Male,3,27.26,56.65,67.6,Cash,Rock,3,7,4,False
22,VIP,2025-05-01,23,Female,4,17.05,35.13,52.02,Cash,Pop,3,9,3,True
23,1-day Pass,2025-05-01,18,Female,3,29.57,41.24,56.78,Card,Pop,8,7,3,True
24,VIP,2025-05-03,25,Male,5,41.33,4.62,73.88,Card,Rock,8,8,5,False
25,3-day Pass,2025-05-02,30,Female,2,42.76,28.63,22.54,Card,Rock,1,7,8,True
26,1-day Pass,2025-05-03,28,Male,5,45.35,19.68,92.91,Cash,Pop,5,10,4,True
27,1-day Pass,2025-05-03,23,Female,3,9.27,53.1,77.98,Card,Rock,8,10,9,True
28,3-day Pass,2025-05-03,30,Male,2,43.51,58.61,53.85,Card,Rock,8,9,7,True
