ticket_id,ticket_type,ticket_price,purchase_date,attendance_date,entry_time,was_present,attendee_id,age,gender,origin_city,transport_used,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,stages_visited,top_artist_seen,hours_spent,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend
TCK102187,3-day Pass,200,2025-03-07,2025-05-02,19:22:00,True,ATD202187,20,Female,Madrid,Train,2,15.38,50.74,78.35,Festival App,Pop,3,Artist D,8.6,6.5,8.0,9.5,Yes
TCK105186,3-day Pass,150,2025-02-06,2025-05-03,15:59:00,True,ATD205186,33,Other,Barcelona,Car,3,27.45,57.04,48.7,Card,Pop,1,Artist D,7.3,8.0,6.5,6.5,Yes
TCK107469,,200,2025-03-08,2025-05-03,16:32:00,True,ATD207469,35,Female,Barcelona,Car,5,12.38,45.05,56.57,Card,Rock,1,Artist A,5.6,9.5,5.0,8.0,Yes
TCK102961,3-day Pass,200,2025-04-30,2025-05-01,22:19:00,True,ATD202961,50,Other,Madrid,Train,3,47.83,53.21,10.78,Cash,Hip-Hop,1,Artist E,5.9,8.0,8.0,6.5,nO
TCK107515,3-day Pass,80,2025-02-18,2025-05-01,19:35:00,True,ATD207515,27,Other,Madrid,Plane,5,37.65,18.95,11.05,Card,Hip-Hop,4,Artist A,8.0,8.0,8.0,9.5,Yes
TCK100898,3-day Pass,200,2025-02-26,2025-05-03,21:51:00,True,ATD200898,33,Male,Sevilla,Other,4,44.24,37.72,50.84,Card,Rock,2,Artist E,10.0,5.0,8.0,9.5,Yes
TCK108801,1-day Pass,80,2025-02-26,2025-05-02,22:24:00,True,ATD208801,41,Female,Madrid,Train,2,13.34,30.58,22.16,Festival App,Rock,1,Artist C,7.6,8.0,8.0,8.0,Yes
TCK100657,3-day Pass,200,2025-04-13,2025-05-01,19:48:00,True,ATD200657,43,Other,Sevilla,Train,2,6.32,47.45,67.61,Cash,Rock,4,Artist B,8.9,9.5,8.0,5.0,Yes
TCK108250,1-day Pass,200,2025-03-12,2025-05-02,21:27:00,True,ATD208250,27,Female,Barcelona,Plane,1,20.44,28.24,6.47,Festival App,Rock,2,Artist B,6.6,5.0,5.0,8.0,nO
TCK105004,VIP,80,2025-02-28,2025-05-01,17:54:00,True,ATD205004,34,Other,Madrid,Car,3,31.1,36.28,26.65,Festival App,Pop,1,Artist C,2.8,8.0,9.5,8.0,nO
TCK108993,VIP,150,2025-02-13,2025-05-01,15:15:00,True,ATD208993,36,Other,Madrid,Other,1,42.46,8.16,67.05,Festival App,Rock,1,Artist C,10.3,5.0,8.0,6.5,Yes
TCK104603,3-day Pass,80,2025-03-15,2025-05-03,14:29:00,True,ATD204603,55,Female,Madrid,Plane,3,13.58,13.84,3.05,Festival App,Reggaeton,4,Artist B,11.6,9.5,5.0,5.0,nO
TCK100496,VIP,80,2025-04-05,2025-05-02,16:31:00,True,ATD200496,36,Other,Barcelona,Plane,1,8.89,59.87,99.05,Festival App,Hip-Hop,4,Artist D,3.8,6.5,8.0,5.0,Yes
TCK103576,3-day Pass,200,2025-02-06,2025-05-03,22:00:00,True,ATD203576,33,Other,Madrid,Bus,1,38.76,50.53,71.27,Card,Hip-Hop,4,Artist D,6.1,9.5,6.5,8.0,Yes
TCK102315,1-day Pass,150,2025-03-01,2025-05-02,17:24:00,True,ATD202315,31,Female,Valencia,Bus,3,6.15,19.89,83.46,Cash,Pop,3,Artist B,3.1,5.0,5.0,6.5,Yes
TCK100316,3-day Pass,150,2025-04-03,2025-05-03,22:08:00,True,ATD200316,51,Female,Sevilla,Bus,4,19.3,18.68,98.17,Card,Rock,4,Artist A,5.0,9.5,6.5,9.5,Yes
TCK106047,3-day Pass,80,2025-02-04,2025-05-03,15:05:00,True,ATD206047,24,Female,Barcelona,Bus,1,49.6,7.96,14.78,Festival App,Rock,2,Artist C,2.4,9.5,8.0,8.0,nO
TCK100146,3-day Pass,80,2025-04-14,2025-05-03,20:22:00,True,ATD200146,45,Male,Barcelona,Bus,1,14.11,9.25,3.51,Festival App,Hip-Hop,3,Artist D,8.6,8.0,5.0,8.0,nO
TCK106867,VIP,150,2025-02-02,2025-05-02,19:09:00,True,ATD206867,50,Other,Valencia,Plane,5,36.05,9.0,35.05,Card,Rock,3,Artist E,3.4,8.0,5.0,6.5,nO
TCK105757,3-day Pass,80,2025-02-19,2025-05-03,17:55:00,True,ATD205757,40,Other,Madrid,Plane,5,9.28,31.41,99.16,Festival App,Pop,2,Artist D,9.1,5.0,8.0,8.0,Yes
TCK104652,3-day Pass,200,2025-04-27,2025-05-02,15:10:00,True,ATD204652,54,Female,Barcelona,Bus,5,27.26,56.65,67.6,Festival App,Rock,2,Artist E,9.7,8.0,6.5,6.5,nO
TCK108976,VIP,200,2025-03-08,2025-05-01,22:55:00,True,ATD208976,37,Male,Valencia,Bus,3,17.05,35.13,52.02,Card,Pop,1,Artist D,8.7,8.0,8.0,8.0,Yes
TCK102620,1-day Pass,80,2025-03-03,2025-05-01,16:00:00,True,ATD202620,56,Female,Barcelona,Other,1,29.57,41.24,56.78,Festival App,Pop,4,Artist B,9.2,9.5,6.5,8.0,Yes
TCK105231,VIP,150,2025-02-19,2025-05-03,14:29:00,True,ATD205231,22,Male,Barcelona,Plane,3,41.33,4.62,73.88,Cash,Rock,4,Artist E,6.7,9.5,8.0,6.5,nO
TCK106064,3-day Pass,200,2025-03-29,2025-05-02,17:13:00,True,ATD206064,48,Male,Valencia,Plane,5,42.76,28.63,22.54,Card,Rock,2,Artist D,4.2,9.5,9.5,6.5,Yes
TCK100529,1-day Pass,80,2025-02-24,2025-05-03,19:36:00,True,ATD200529,40,Female,Barcelona,Car,3,45.35,19.68,92.91,Cash,Pop,1,Artist C,10.1,6.5,6.5,5.0,Yes
TCK104453,1-day Pass,200,2025-02-26,2025-05-03,20:03:00,True,ATD204453,30,Male,Sevilla,Other,5,9.27,53.1,77.98,Festival App,Rock,4,Artist D,11.7,8.0,9.5,6.5,Yes
TCK107531,3-day Pass,150,2025-02-17,2025-05-03,16:00:00,True,ATD207531,19,Female,Barcelona,Car,1,43.51,58.61,53.85,Cash,Rock,1,Artist E,11.6,8.0,6.5,8.0,Yes
TCK103007,1-day Pass,150,2025-04-23,2025-05-01,15:40:00,True,ATD203007,21,Other,Sevilla,Train,4,42.3,33.9,75.65,Festival App,Electronic,1,Artist C,3.7,6.5,5.0,8.0,nO
TCK108397,3-day Pass,80,2025-02-21,2025-05-02,19:02:00,True,ATD208397,26,Female,Barcelona,Bus,5,13.41,50.44,67.26,Cash,Pop,1,Artist C,5.1,5.0,8.0,6.5,nO
TCK107070,1-day Pass,80,2025-02-27,2025-05-03,18:55:00,True,ATD207070,41,Male,Barcelona,Plane,3,42.97,38.81,58.37,Cash,Pop,4,Artist C,10.2,8.0,8.0,8.0,Yes
TCK108978,VIP,150,2025-02-26,2025-05-01,20:20:00,True,ATD208978,45,Male,Barcelona,Plane,3,18.62,59.62,82.56,Card,Pop,4,Artist E,11.3,9.5,6.5,9.5,nO
TCK100114,1-day Pass,150,2025-02-19,2025-05-02,18:35:00,True,ATD200114,34,Other,Barcelona,Other,2,19.69,2.53,57.08,Festival App,Pop,3,Artist C,3.8,6.5,5.0,5.0,Yes
TCK108622,1-day Pass,80,2025-04-27,2025-05-02,21:25:00,True,ATD208622,18,Other,Sevilla,Bus,2,18.71,45.48,4.27,Festival App,Reggaeton,3,Artist A,3.5,8.0,8.0,6.5,Yes
TCK107720,3-day Pass,80,2025-02-26,2025-05-01,16:47:00,True,ATD207720,22,Female,Barcelona,Car,2,44.24,12.38,8.67,Festival App,Pop,3,Artist C,3.7,6.5,6.5,6.5,Yes
TCK105805,3-day Pass,80,2025-03-28,2025-05-02,21:36:00,True,ATD205805,18,Male,Valencia,Other,3,48.04,32.32,44.03,Card,Pop,1,Artist B,9.3,6.5,5.0,6.5,Yes
TCK107013,1-day Pass,200,2025-04-06,2025-05-03,22:52:00,True,ATD207013,31,Female,Barcelona,Bus,1,9.4,36.3,28.84,Festival App,Rock,1,Artist B,6.4,5.0,8.0,9.5,Yes
TCK102507,3-day Pass,80,2025-03-10,2025-05-03,16:54:00,True,ATD202507,58,Female,Sevilla,Other,3,41.45,7.18,26.79,Cash,Rock,4,Artist D,5.4,5.0,8.0,9.5,nO
TCK104423,1-day Pass,80,2025-02-11,2025-05-02,22:48:00,True,ATD204423,28,Male,Barcelona,Plane,1,48.13,38.57,17.0,Card,Pop,3,Artist B,10.7,8.0,5.0,8.0,Yes
TCK102633,1-day Pass,200,2025-04-01,2025-05-03,15:33:00,True,ATD202633,43,Male,Sevilla,Car,1,30.4,8.58,7.04,Festival App,hiphop,1,Artist E,2.5,8.0,5.0,8.0,Yes
TCK100195,3-day Pass,200,2025-02-01,2025-05-03,21:55:00,True,ATD200195,27,Female,Valencia,Train,3,36.31,4.6,67.21,Festival App,Rock,4,Artist E,7.7,9.5,5.0,9.5,Yes
TCK106458,3-day Pass,80,2025-02-12,2025-05-02,15:14:00,True,ATD206458,31,Female,Madrid,Train,5,29.48,8.54,20.74,Festival App,Rock,3,Artist B,11.8,9.5,5.0,8.0,Yes
TCK103725,3-day Pass,80,2025-04-24,2025-05-02,16:19:00,True,ATD203725,18,Male,Barcelona,Train,1,17.94,37.54,94.2,Cash,Regueton,4,Artist A,2.8,9.5,9.5,8.0,Yes
TCK109319,1-day Pass,80,2025-04-12,2025-05-02,15:37:00,True,ATD209319,58,Female,Madrid,Bus,4,30.75,57.29,75.52,cash ,hiphop,3,Artist D,5.4,9.5,5.0,8.0,Yes
TCK109279,3-day Pass,150,2025-02-13,2025-05-02,17:38:00,True,ATD209279,31,Male,Madrid,Bus,4,8.86,15.32,55.41,Card,Rock,1,Artist A,2.7,8.0,9.5,8.0,nO
TCK102039,VIP,80,2025-04-17,2025-05-01,17:15:00,True,ATD202039,49,Other,Sevilla,Other,5,11.37,7.41,68.27,Card,Rock,2,Artist B,6.7,8.0,5.0,9.5,nO
TCK100695,VIP,200,2025-04-23,2025-05-03,19:09:00,True,ATD200695,25,Male,Madrid,Bus,3,45.53,37.76,67.23,Festival App,Pop,3,Artist C,9.5,6.5,8.0,8.0,Yes
TCK108986,1-day Pass,80,2025-04-02,2025-05-02,18:12:00,True,ATD208986,24,Male,Sevilla,Bus,5,20.16,50.51,21.8,Festival App,Pop,1,Artist C,8.6,9.5,8.0,6.5,Yes
TCK106205,3-day Pass,200,2025-03-15,2025-05-03,18:42:00,True,ATD206205,53,Female,Barcelona,Plane,4,24.7,12.29,75.64,Card,Pop,4,Artist E,8.5,8.0,8.0,8.0,Yes
TCK102003,1-day Pass,80,2025-03-26,2025-05-03,20:26:00,True,ATD202003,30,Male,Barcelona,Train,4,36.43,39.62,55.32,Card,hiphop,2,Artist C,10.8,6.5,9.5,8.0,Yes
TCK103499,3-day Pass,80,2025-02-28,2025-05-01,17:00:00,True,ATD203499,59,Other,Barcelona,Bus,3,31.66,29.14,91.11,cash ,Rock,1,Artist A,9.3,9.5,5.0,6.5,nO
TCK109136,,200,2025-03-28,2025-05-01,20:35:00,True,ATD209136,48,Other,Madrid,Car,5,20.98,9.08,38.31,Festival App,Hip-Hop,3,Artist E,5.9,8.0,6.5,8.0,nO
