ticket_id,ticket_type,ticket_price,purchase_date,attendance_date,entry_time,was_present,attendee_id,age,gender,origin_city,transport_used,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,stages_visited,top_artist_seen,hours_spent,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend
TCK102187,3-day Pass,350,2025-03-07,2025-05-02,19:22:00,True,ATD202187,18,Female,Malaga,Train,5,15.38,50.74,78.35,Cash,Pop,3,Artist D,8.6,8,10,6,Yes
TCK105186,3-day Pass,210,2025-02-06,2025-05-03,15:59:00,True,ATD205186,28,Male,Barcelona,Car,3,27.45,57.04,48.7,Card,Pop,1,Artist D,7.3,9,8,9,Yes
TCK107469,,350,2025-03-08,2025-05-03,16:32:00,True,ATD207469,20,Female,Madrid,Car,4,12.38,45.05,56.57,Card,Rock,1,Artist A,5.6,4,10,8,Yes
TCK102961,3-day Pass,350,2025-04-30,2025-05-01,22:19:00,True,ATD202961,18,Female,Valencia,Train,3,47.83,53.21,10.78,Cash,hiphop,1,Artist E,5.9,5,8,2,nO
TCK107515,3-day Pass,80,2025-02-18,2025-05-01,19:35:00,True,ATD207515,28,Male,Madrid,Plane,1,37.65,18.95,11.05,Festival App,Hip-Hop,4,Artist A,8.0,1,7,3,Yes
TCK100898,3-day Pass,350,2025-02-26,2025-05-03,21:51:00,True,ATD200898,25,Male,Valencia,Other,3,44.24,37.72,50.84,Card,Rock,2,Artist E,10.0,8,8,7,Yes
TCK108801,1-day Pass,80,2025-02-26,2025-05-02,22:24:00,True,ATD208801,28,Female,Sevilla,Train,4,13.34,30.58,22.16,Card,Rock,1,Artist C,7.6,8,7,1,Yes
TCK100657,3-day Pass,350,2025-04-13,2025-05-01,19:48:00,True,ATD200657,25,Female,Madrid,Train,2,6.32,47.45,67.61,Cash,Rock,4,Artist B,8.9,7,8,10,Yes
TCK108250,1-day Pass,350,2025-03-12,2025-05-02,21:27:00,True,ATD208250,27,Female,Valencia,Plane,4,20.44,28.24,6.47,Card,Rock,2,Artist B,6.6,8,7,5,nO
TCK105004,VIP,80,2025-02-28,2025-05-01,17:54:00,True,ATD205004,30,Female,Barcelona,Car,3,31.1,36.28,26.65,Card,Pop,1,Artist C,2.8,6,8,6,nO
TCK108993,VIP,210,2025-02-13,2025-05-01,15:15:00,True,ATD208993,26,Female,Sevilla,Other,5,42.46,8.16,67.05,Cash,Rock,1,Artist C,10.3,3,8,2,Yes
TCK104603,3-day Pass,80,2025-03-15,2025-05-03,14:29:00,True,ATD204603,22,Male,Madrid,Plane,3,13.58,13.84,3.05,Card,Regueton,4,Artist B,11.6,7,6,5,nO
TCK100496,VIP,80,2025-04-05,2025-05-02,16:31:00,True,ATD200496,24,Female,Madrid,Plane,3,8.89,59.87,99.05,Cash,hiphop,4,Artist D,3.8,5,8,4,Yes
TCK103576,3-day Pass,350,2025-02-06,2025-05-03,22:00:00,True,ATD203576,22,Female,Valencia,Bus,4,38.76,50.53,71.27,Card,hiphop,4,Artist D,6.1,2,9,3,Yes
TCK102315,1-day Pass,210,2025-03-01,2025-05-02,17:24:00,True,ATD202315,23,Female,Valencia,Bus,3,6.15,19.89,83.46,Cash,Pop,3,Artist B,3.1,8,10,2,Yes
TCK100316,3-day Pass,210,2025-04-03,2025-05-03,22:08:00,True,ATD200316,18,Female,Barcelona,Bus,4,19.3,18.68,98.17,Card,Rock,4,Artist A,5.0,9,7,3,Yes
TCK106047,3-day Pass,80,2025-02-04,2025-05-03,15:05:00,True,ATD206047,18,Female,Madrid,Bus,2,49.6,7.96,14.78,Card,Rock,2,Artist C,2.4,6,7,2,nO
TCK100146,3-day Pass,80,2025-04-14,2025-05-03,20:22:00,True,ATD200146,25,Female,Madrid,Bus,5,14.11,9.25,3.51,Card,hiphop,3,Artist D,8.6,3,7,6,nO
TCK106867,VIP,210,2025-02-02,2025-05-02,19:09:00,True,ATD206867,28,Male,Madrid,Plane,4,36.05,9.0,35.05,Card,Rock,3,Artist E,3.4,8,7,5,nO
TCK105757,3-day Pass,80,2025-02-19,2025-05-03,17:55:00,True,ATD205757,27,Male,Barcelona,Plane,5,9.28,31.41,99.16,Card,Pop,2,Artist D,9.1,6,5,6,Yes
TCK104652,3-day Pass,350,2025-04-27,2025-05-02,15:10:00,True,ATD204652,30,Male,Barcelona,Bus,2,27.26,56.65,67.6,Card,Rock,2,Artist E,9.7,8,7,4,nO
