attendance_date,age,group_size,food_expense,drink_expense,merch_expense,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend,total_spent,is_multiday,mean_rating,ticket_id,gender_id,favourite_genre_id,payment_method_id,ticket_type_id,satisfaction_level_id,cleanliness_rating_level_id,security_rating_level_id,group_type_id,age_group_id
2025-05-02,18,5,15.38,50.74,78.35,8,10,6,True,144.47,True,8.0,1,1,1,1,2,2,2,3,3,1
2025-05-03,28,3,27.45,57.04,48.7,9,8,9,True,133.19,True,8.67,2,2,1,2,2,3,3,2,3,2
2025-05-03,20,4,12.38,45.05,56.57,4,10,8,True,114.0,True,7.33,3,1,2,2,2,1,2,3,3,1
2025-05-01,18,3,47.83,53.21,10.78,5,8,2,False,111.82,True,5.0,4,1,3,1,2,1,1,2,3,1
2025-05-01,28,1,37.65,18.95,11.05,1,7,3,True,67.65,True,3.67,5,2,3,3,2,1,1,2,3,2
2025-05-03,25,3,44.24,37.72,50.84,8,8,7,True,132.8,True,7.67,6,2,2,2,2,2,2,2,3,2
2025-05-02,28,4,13.34,30.58,22.16,8,7,1,True,66.08,False,5.33,7,1,2,2,1,2,1,2,3,2
2025-05-01,25,2,6.32,47.45,67.61,7,8,10,True,121.38,True,8.33,8,1,2,1,2,2,3,2,3,2
2025-05-02,27,4,20.44,28.24,6.47,8,7,5,False,55.15,False,6.67,9,1,2,2,1,2,1,2,3,2
2025-05-01,30,3,31.1,36.28,26.65,6,8,6,False,94.03,True,6.67,10,1,1,2,3,2,2,2,3,2
2025-05-01,26,5,42.46,8.16,67.05,3,8,2,True,117.67,True,4.33,11,1,2,1,3,1,1,2,3,2
2025-05-03,22,3,13.58,13.84,3.05,7,6,5,False,30.47,True,6.0,12,2,4,2,2,2,1,2,3,1
2025-05-02,24,3,8.89,59.87,99.05,5,8,4,True,167.81,True,5.67,13,1,3,1,3,1,1,2,3,1
2025-05-03,22,4,38.76,50.53,71.27,2,9,3,True,160.56,True,4.67,14,1,3,2,2,1,1,3,3,1
2025-05-02,23,3,6.15,19.89,83.46,8,10,2,True,109.5,False,6.67,15,1,1,1,1,2,1,3,3,1
