ticket_id,satisfaction_rating,cleanliness_rating,security_rating,satisfaction_level,cleanliness_level,security_level,mean_rating
1,4.0,7.0,6.5,Low,Medium,Medium,5.83
2,5.0,3.0,9.0,Low,Low,High,5.67
3,4.33,6.33,6.0,Low,Medium,Medium,5.55
4,7.5,6.5,7.0,Medium,Medium,Medium,7.0
5,6.0,6.0,7.0,Medium,Medium,Medium,6.33
6,4.5,4.5,8.0,Low,Low,Medium,5.67
7,8.0,3.0,6.0,Medium,Low,Medium,5.67
8,4.0,5.0,7.0,Low,Low,Medium,5.33
9,1.0,8.0,7.0,Low,Medium,Medium,5.33
10,4.0,4.0,9.0,Low,Low,High,5.67
11,6.0,3.5,8.5,Medium,Low,High,6.0
12,10.0,7.0,6.5,High,Medium,Medium,7.83
13,1.0,7.0,10.0,Low,Medium,High,6.0
14,5.0,2.0,10.0,Low,Low,High,5.67
15,8.5,7.0,8.5,High,Medium,High,8.0
16,2.0,4.5,7.5,Low,Low,Medium,4.67
17,6.5,2.5,9.5,Medium,Low,High,6.17
18,8.0,2.0,8.0,Medium,Low,Medium,6.0
19,8.0,8.0,7.0,Medium,Medium,Medium,7.67
20,7.0,7.0,7.5,Medium,Medium,Medium,7.17
21,4.0,4.0,7.0,Low,Low,Medium,5.0
22,4.5,3.5,8.5,Low,Low,High,5.5
23,9.0,4.5,8.0,High,Low,Medium,7.17
24,8.5,5.5,7.0,High,Medium,Medium,7.0
25,1.0,8.0,7.0,Low,Medium,Medium,5.33
26,5.0,4.0,10.0,Low,Low,High,6.33
27,6.67,6.33,8.0,Medium,Medium,Medium,7.0
28,5.67,6.67,8.67,Medium,Medium,High,7.0
29,7.0,8.5,8.5,Medium,High,High,8.0
30,7.0,5.0,10.0,Medium,Low,High,7.33
31,8.0,6.0,6.5,Medium,Medium,Medium,6.83
32,5.33,2.67,8.67,Medium,Low,High,5.56
33,8.0,4.5,8.0,Medium,Low,Medium,6.83
34,8.0,5.0,9.0,Medium,Low,High,7.33
35,4.0,5.0,10.0,Low,Low,High,6.33
36,7.0,2.0,8.0,Medium,Low,Medium,5.67
37,3.5,8.0,7.5,Low,Medium,Medium,6.33
38,8.0,6.0,9.0,Medium,Medium,High,7.67
39,1.0,10.0,10.0,Low,High,High,7.0
40,6.67,2.33,8.33,Medium,Low,High,5.78
41,9.0,6.0,8.0,High,Medium,Medium,7.67
42,6.0,3.5,7.0,Medium,Low,Medium,5.5
43,8.0,5.0,9.0,Medium,Low,High,7.33
44,1.0,6.0,8.0,Low,Medium,Medium,5.0
45,6.0,2.0,10.0,Medium,Low,High,6.0
46,6.5,3.0,8.5,Medium,Low,High,6.0
47,2.0,2.0,9.0,Low,Low,High,4.33
48,4.5,4.0,9.0,Low,Low,High,5.83
49,2.0,2.0,6.0,Low,Low,Medium,3.33
50,4.5,5.0,9.0,Low,Low,High,6.17
51,6.5,4.0,5.5,Medium,Low,Medium,5.33
52,4.5,4.0,8.0,Low,Low,Medium,5.5
53,7.0,7.0,8.0,Medium,Medium,Medium,7.33
54,6.0,4.5,7.5,Medium,Low,Medium,6.0
55,5.0,2.0,9.0,Low,Low,High,5.33
56,5.5,4.0,7.5,Medium,Low,Medium,5.67
57,8.0,5.0,8.0,Medium,Low,Medium,7.0
58,6.0,3.0,7.0,Medium,Low,Medium,5.33
59,5.5,5.0,9.0,Medium,Low,High,6.5
60,5.5,3.5,8.5,Medium,Low,High,5.83
61,8.0,3.0,6.0,Medium,Low,Medium,5.67
62,7.0,3.0,9.0,Medium,Low,High,6.33
63,7.0,5.33,9.0,Medium,Medium,High,7.11
64,6.5,6.0,8.0,Medium,Medium,Medium,6.83
65,5.0,7.5,8.5,Low,Medium,High,7.0
66,8.0,3.0,9.0,Medium,Low,High,6.67
67,6.5,8.0,5.0,Medium,Medium,Low,6.5
68,5.67,5.0,7.33,Medium,Low,Medium,6.0
69,6.5,5.5,9.0,Medium,Medium,High,7.0
70,4.0,7.67,7.67,Low,Medium,Medium,6.45
71,2.0,9.0,8.0,Low,High,Medium,6.33
72,7.67,3.67,6.33,Medium,Low,Medium,5.89
73,8.0,5.0,8.0,Medium,Low,Medium,7.0
74,9.0,3.67,8.33,High,Low,High,7.0
75,7.5,2.5,8.5,Medium,Low,High,6.17
76,4.0,5.0,8.0,Low,Low,Medium,5.67
77,2.0,3.0,9.0,Low,Low,High,4.67
78,5.67,3.33,8.67,Medium,Low,High,5.89
79,3.0,4.33,6.67,Low,Low,Medium,4.67
80,7.0,7.67,6.67,Medium,Medium,Medium,7.11
81,7.33,4.67,7.33,Medium,Low,Medium,6.44
82,8.0,3.0,7.0,Medium,Low,Medium,6.0
83,7.0,2.0,9.0,Medium,Low,High,6.0
84,6.0,5.0,7.0,Medium,Low,Medium,6.0
85,1.0,3.0,8.0,Low,Low,Medium,4.0
86,8.5,5.0,7.0,High,Low,Medium,6.83
87,5.67,4.0,9.0,Medium,Low,High,6.22
88,6.0,6.5,8.5,Medium,Medium,High,7.0
89,1.0,5.0,9.0,Low,Low,High,5.0
90,3.5,7.0,6.5,Low,Medium,Medium,5.67
91,3.5,6.0,8.5,Low,Medium,High,6.0
92,6.67,3.33,8.0,Medium,Low,Medium,6.0
93,3.5,7.0,4.5,Low,Medium,Low,5.0
94,4.5,6.0,4.5,Low,Medium,Low,5.0
95,6.0,6.0,9.0,Medium,Medium,High,7.0
96,7.0,3.0,7.5,Medium,Low,Medium,5.83
97,8.0,3.0,5.0,Medium,Low,Low,5.33
98,8.0,8.0,7.0,Medium,Medium,Medium,7.67
99,1.0,4.0,10.0,Low,Low,High,5.0
100,5.0,4.67,9.33,Low,Low,High,6.33
101,6.5,6.0,8.5,Medium,Medium,High,7.0
102,8.0,8.0,4.0,Medium,Medium,Low,6.67
103,7.0,3.0,8.0,Medium,Low,Medium,6.0
104,6.0,8.5,6.5,Medium,High,Medium,7.0
105,6.0,3.0,6.0,Medium,Low,Medium,5.0
106,3.0,4.5,6.5,Low,Low,Medium,4.67
107,1.0,7.0,2.0,Low,Medium,Low,3.33
108,3.5,4.5,7.0,Low,Low,Medium,5.0
109,7.0,3.0,5.0,Medium,Low,Low,5.0
110,5.0,5.5,8.0,Low,Medium,Medium,6.17
111,5.67,7.67,7.67,Medium,Medium,Medium,7.0
112,4.67,7.67,8.67,Low,Medium,High,7.0
113,3.0,6.0,2.0,Low,Medium,Low,3.67
114,5.0,4.5,10.0,Low,Low,High,6.5
115,6.0,5.0,4.5,Medium,Low,Low,5.17
116,7.67,5.0,7.33,Medium,Low,Medium,6.67
117,4.0,4.67,7.67,Low,Low,Medium,5.45
118,4.0,2.0,7.0,Low,Low,Medium,4.33
119,1.0,3.0,10.0,Low,Low,High,4.67
120,8.0,6.0,5.0,Medium,Medium,Low,6.33
121,7.0,2.5,8.0,Medium,Low,Medium,5.83
122,8.0,5.5,9.0,Medium,Medium,High,7.5
123,4.0,9.0,9.0,Low,High,High,7.33
124,8.0,5.0,7.5,Medium,Low,Medium,6.83
125,1.0,9.0,7.0,Low,High,Medium,5.67
126,6.33,5.0,7.67,Medium,Low,Medium,6.33
127,5.0,6.0,8.33,Low,Medium,High,6.44
128,4.0,7.0,7.0,Low,Medium,Medium,6.0
129,8.0,5.5,6.0,Medium,Medium,Medium,6.5
130,9.0,4.0,9.0,High,Low,High,7.33
131,6.0,6.0,6.33,Medium,Medium,Medium,6.11
132,5.5,3.5,7.5,Medium,Low,Medium,5.5
133,5.5,6.0,8.0,Medium,Medium,Medium,6.5
134,6.5,4.5,7.5,Medium,Low,Medium,6.17
135,8.0,4.0,7.33,Medium,Low,Medium,6.44
136,8.5,2.5,7.5,High,Low,Medium,6.17
137,1.5,4.0,7.5,Low,Low,Medium,4.33
138,6.0,6.0,10.0,Medium,Medium,High,7.33
139,6.67,4.33,8.0,Medium,Low,Medium,6.33
140,7.5,4.5,8.5,Medium,Low,High,6.83
141,8.0,10.0,8.0,Medium,High,Medium,8.67
142,8.0,4.0,6.5,Medium,Low,Medium,6.17
143,6.5,7.0,7.5,Medium,Medium,Medium,7.0
144,6.33,2.67,6.67,Medium,Low,Medium,5.22
145,4.0,3.0,7.0,Low,Low,Medium,4.67
146,8.0,2.0,5.0,Medium,Low,Low,5.0
147,3.0,7.0,6.0,Low,Medium,Medium,5.33
148,6.0,6.0,6.0,Medium,Medium,Medium,6.0
149,7.0,4.5,9.5,Medium,Low,High,7.0
150,5.0,3.5,9.0,Low,Low,High,5.83
151,7.0,2.0,9.0,Medium,Low,High,6.0
152,5.67,6.67,8.0,Medium,Medium,Medium,6.78
153,4.0,7.0,8.0,Low,Medium,Medium,6.33
154,8.0,9.0,7.0,Medium,High,Medium,8.0
155,3.0,4.67,7.0,Low,Low,Medium,4.89
156,3.5,5.0,8.5,Low,Low,High,5.67
157,9.0,5.0,8.0,High,Low,Medium,7.33
158,9.0,5.0,7.5,High,Low,Medium,7.17
159,6.33,4.33,7.67,Medium,Low,Medium,6.11
160,6.33,6.33,6.67,Medium,Medium,Medium,6.44
161,6.5,8.0,7.5,Medium,Medium,Medium,7.33
162,8.0,4.0,9.0,Medium,Low,High,7.0
163,1.0,10.0,10.0,Low,High,High,7.0
164,8.0,6.0,9.0,Medium,Medium,High,7.67
165,8.0,6.0,10.0,Medium,Medium,High,8.0
166,8.0,8.0,8.5,Medium,Medium,High,8.17
167,7.5,3.0,9.5,Medium,Low,High,6.67
168,3.0,5.0,8.5,Low,Low,High,5.5
169,5.5,6.5,7.0,Medium,Medium,Medium,6.33
170,4.5,6.5,8.0,Low,Medium,Medium,6.33
171,7.0,7.67,8.0,Medium,Medium,Medium,7.56
172,8.0,5.0,2.0,Medium,Low,Low,5.0
173,8.33,2.33,7.33,High,Low,Medium,6.0
174,8.0,4.0,8.0,Medium,Low,Medium,6.67
175,6.0,5.0,7.0,Medium,Low,Medium,6.0
176,2.0,2.0,8.0,Low,Low,Medium,4.0
177,1.0,8.0,7.0,Low,Medium,Medium,5.33
178,6.5,6.5,8.5,Medium,Medium,High,7.17
179,6.0,5.0,9.0,Medium,Low,High,6.67
180,8.0,6.0,10.0,Medium,Medium,High,8.0
181,7.0,9.0,10.0,Medium,High,High,8.67
182,7.0,4.0,8.0,Medium,Low,Medium,6.33
183,5.67,5.0,8.67,Medium,Low,High,6.45
184,9.0,10.0,5.0,High,High,Low,8.0
185,6.0,3.0,8.0,Medium,Low,Medium,5.67
186,7.0,6.5,8.5,Medium,Medium,High,7.33
187,8.0,4.0,10.0,Medium,Low,High,7.33
188,8.0,2.0,7.0,Medium,Low,Medium,5.67
189,1.0,5.67,7.67,Low,Medium,Medium,4.78
190,8.0,4.33,6.0,Medium,Low,Medium,6.11
191,4.67,7.0,8.33,Low,Medium,High,6.67
192,8.0,7.0,10.0,Medium,Medium,High,8.33
193,9.0,4.5,8.0,High,Low,Medium,7.17
194,8.0,4.0,7.5,Medium,Low,Medium,6.5
195,10.0,2.0,8.0,High,Low,Medium,6.67
196,8.0,3.0,9.0,Medium,Low,High,6.67
197,5.5,6.5,4.0,Medium,Medium,Low,5.33
198,5.0,5.5,8.0,Low,Medium,Medium,6.17
199,8.0,2.0,10.0,Medium,Low,High,6.67
200,3.5,5.5,8.0,Low,Medium,Medium,5.67
201,10.0,6.0,2.0,High,Medium,Low,6.0
202,5.5,4.5,7.0,Medium,Low,Medium,5.67
203,7.0,7.0,9.0,Medium,Medium,High,7.67
204,6.5,3.0,8.0,Medium,Low,Medium,5.83
205,7.0,8.5,9.0,Medium,High,High,8.17
206,8.0,4.0,7.0,Medium,Low,Medium,6.33
207,1.0,7.0,8.0,Low,Medium,Medium,5.33
208,6.5,6.5,8.0,Medium,Medium,Medium,7.0
209,8.0,6.0,10.0,Medium,Medium,High,8.0
210,8.0,8.0,7.0,Medium,Medium,Medium,7.67
211,6.67,6.33,8.0,Medium,Medium,Medium,7.0
212,6.5,2.0,9.5,Medium,Low,High,6.0
213,1.0,3.0,10.0,Low,Low,High,4.67
214,8.0,5.0,8.0,Medium,Low,Medium,7.0
215,7.0,2.0,4.0,Medium,Low,Low,4.33
216,4.5,6.0,7.0,Low,Medium,Medium,5.83
217,9.5,5.0,8.5,High,Low,High,7.67
218,7.0,5.0,10.0,Medium,Low,High,7.33
219,6.0,4.0,8.0,Medium,Low,Medium,6.0
220,8.0,7.0,6.0,Medium,Medium,Medium,7.0
221,2.0,7.0,7.0,Low,Medium,Medium,5.33
222,1.0,5.0,8.0,Low,Low,Medium,4.67
223,3.0,2.5,5.5,Low,Low,Medium,3.67
224,6.67,3.67,7.0,Medium,Low,Medium,5.78
225,8.0,3.0,7.0,Medium,Low,Medium,6.0
226,2.5,7.5,8.5,Low,Medium,High,6.17
227,7.5,6.5,8.0,Medium,Medium,Medium,7.33
228,4.0,10.0,7.0,Low,High,Medium,7.0
229,8.0,6.0,8.5,Medium,Medium,High,7.5
230,2.0,4.5,6.0,Low,Low,Medium,4.17
231,3.5,3.5,7.0,Low,Low,Medium,4.67
232,8.0,5.0,7.0,Medium,Low,Medium,6.67
233,5.0,8.0,8.0,Low,Medium,Medium,7.0
234,9.0,3.0,9.0,High,Low,High,7.0
235,4.5,6.0,8.5,Low,Medium,High,6.33
236,8.0,8.0,8.0,Medium,Medium,Medium,8.0
237,5.5,3.0,7.0,Medium,Low,Medium,5.17
238,4.0,3.0,8.0,Low,Low,Medium,5.0
239,6.0,3.5,8.5,Medium,Low,High,6.0
240,5.67,5.33,8.0,Medium,Medium,Medium,6.33
241,4.5,2.0,10.0,Low,Low,High,5.5
242,4.0,4.0,5.0,Low,Low,Low,4.33
243,8.0,4.0,2.0,Medium,Low,Low,4.67
244,8.0,7.0,9.0,Medium,Medium,High,8.0
245,6.0,3.5,8.0,Medium,Low,Medium,5.83
