ticket_id,attendance_date,payment_method,food_expense,drink_expense,merch_expense,spent_that_day
1,2025-05-02,Card,15.38,50.74,78.35,144.47
2,2025-05-03,Card,27.45,57.04,48.7,133.19
3,2025-05-03,Card,12.38,45.05,56.57,114.0
4,2025-05-01,Cash,47.83,53.21,10.78,111.82
5,2025-05-01,Card,37.65,18.95,11.05,67.65
6,2025-05-03,Cash,44.24,37.72,50.84,132.8
7,2025-05-02,Festival App,13.34,30.58,22.16,66.08
8,2025-05-01,Card,6.32,47.45,67.61,121.38
9,2025-05-02,Card,20.44,28.24,6.47,55.15
10,2025-05-01,Cash,31.1,36.28,26.65,94.03
11,2025-05-01,Card,42.46,8.16,67.05,117.67
12,2025-05-03,Card,13.58,13.84,3.05,30.47
13,2025-05-02,Card,8.89,59.87,99.05,167.81
14,2025-05-03,Card,38.76,50.53,71.27,160.56
15,2025-05-02,Card,6.15,19.89,83.46,109.5
16,2025-05-03,Card,19.3,18.68,98.17,136.15
17,2025-05-03,Card,49.6,7.96,14.78,72.34
18,2025-05-03,Card,14.11,9.25,3.51,26.87
19,2025-05-02,Card,36.05,9.0,35.05,80.1
20,2025-05-03,Cash,9.28,31.41,99.16,139.85
21,2025-05-02,Cash,27.26,56.65,67.6,151.51
22,2025-05-01,Cash,17.05,35.13,52.02,104.2
23,2025-05-01,Card,29.57,41.24,56.78,127.59
24,2025-05-03,Card,41.33,4.62,73.88,119.83
25,2025-05-02,Card,42.76,28.63,22.54,93.93
26,2025-05-03,Cash,45.35,19.68,92.91,157.94
27,2025-05-03,Card,9.27,53.1,77.98,140.35
28,2025-05-03,Card,43.51,58.61,53.85,155.97
29,2025-05-01,Card,42.3,33.9,75.65,151.85
30,2025-05-02,Card,13.41,50.44,67.26,131.11
31,2025-05-03,Card,42.97,38.81,58.37,140.15
32,2025-05-01,Card,18.62,59.62,82.56,160.8
33,2025-05-02,Card,19.69,2.53,57.08,79.3
34,2025-05-02,Card,18.71,45.48,4.27,68.46
35,2025-05-01,Cash,44.24,12.38,8.67,65.29
