ticket_id,ticket_type,ticket_price,purchase_date,attendance_date,entry_time,was_present,attendee_id,age,gender,origin_city,transport_used,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,stages_visited,top_artist_seen,hours_spent,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend
TCK102187,3-day Pass,200,2025-03-07,2025-05-02,19:22,Yes,ATD202187,20,Male,Sevilla,Train,2,15.38,50.74,78.35,Cash,Rock,3,Artist D,8.6,1,7,10,No
TCK105186,VIP,150,2025-02-06,2025-05-03,15:59,Yes,ATD205186,33,Female,Barcelona,Car,3,27.45,57.04,48.7,Festival App,Hip-Hop,1,Artist D,7.3,5,10,10,Yes
TCK107469,3-day Pass,200,2025-03-08,2025-05-03,16:32,Yes,ATD207469,35,Male,Madrid,Car,5,12.38,45.05,56.57,Festival App,Reggaeton,1,Artist A,5.6,3,6,3,No
TCK102961,3-day Pass,200,2025-04-30,2025-05-01,22:19,Yes,ATD202961,50,Other,Zaragoza,Train,3,47.83,53.21,10.78,Card,Indie,1,Artist E,5.9,8,1,2,Yes
TCK107515,General,80,2025-02-18,2025-05-01,19:35,Yes,ATD207515,27,Female,Madrid,Plane,5,37.65,18.95,11.05,Festival App,Indie,4,Artist A,8.0,1,5,9,Yes
TCK100898,3-day Pass,200,2025-02-26,2025-05-03,21:51,Yes,ATD200898,33,Male,Malaga,Other,4,44.24,37.72,50.84,Festival App,Reggaeton,2,Artist E,10.0,7,5,7,No
TCK108801,General,80,2025-02-26,2025-05-02,22:24,Yes,ATD208801,41,Male,Zaragoza,Train,2,13.34,30.58,22.16,Cash,Indie,1,Artist C,7.6,2,10,7,Yes
TCK100657,3-day Pass,200,2025-04-13,2025-05-01,19:48,Yes,ATD200657,43,Other,Malaga,Train,2,6.32,47.45,67.61,Festival App,Indie,4,Artist B,8.9,9,5,9,No
TCK108250,3-day Pass,200,2025-03-12,2025-05-02,21:27,Yes,ATD208250,27,Female,Madrid,Plane,1,20.44,28.24,6.47,Cash,Hip-Hop,2,Artist B,6.6,5,8,3,No
TCK105004,General,80,2025-02-28,2025-05-01,17:54,Yes,ATD205004,34,Male,Zaragoza,Car,3,31.1,36.28,26.65,Cash,Electronic,1,Artist C,2.8,10,5,4,Yes
TCK108993,VIP,150,2025-02-13,2025-05-01,15:15,Yes,ATD208993,36,Male,Madrid,Other,1,42.46,8.16,67.05,Cash,Hip-Hop,1,Artist C,10.3,2,10,2,No
TCK104603,General,80,2025-03-15,2025-05-03,14:29,No,ATD204603,55,Other,Sevilla,Plane,3,13.58,13.84,3.05,Cash,Indie,4,Artist B,11.6,7,10,10,No
TCK100496,General,80,2025-04-05,2025-05-02,16:31,Yes,ATD200496,36,Female,Malaga,Plane,1,8.89,59.87,99.05,Festival App,Hip-Hop,4,Artist D,3.8,6,4,7,Yes
TCK103576,3-day Pass,200,2025-02-06,2025-05-03,22:00,Yes,ATD203576,33,Male,Barcelona,Bus,1,38.76,50.53,71.27,Card,Pop,4,Artist D,6.1,1,5,2,Yes
TCK102315,VIP,150,2025-03-01,2025-05-02,17:24,Yes,ATD202315,31,Male,Sevilla,Bus,3,6.15,19.89,83.46,Card,Pop,3,Artist B,3.1,8,5,1,No
TCK100316,VIP,150,2025-04-03,2025-05-03,22:08,No,ATD200316,51,Other,Madrid,Bus,4,19.3,18.68,98.17,Festival App,Reggaeton,4,Artist A,5.0,10,8,9,No
TCK106047,General,80,2025-02-04,2025-05-03,15:05,Yes,ATD206047,24,Male,Valencia,Bus,1,49.6,7.96,14.78,Card,Hip-Hop,2,Artist C,2.4,2,7,10,No
TCK100146,General,80,2025-04-14,2025-05-03,20:22,Yes,ATD200146,45,Other,Malaga,Bus,1,14.11,9.25,3.51,Card,Electronic,3,Artist D,8.6,2,7,9,No
TCK106867,VIP,150,2025-02-02,2025-05-02,19:09,Yes,ATD206867,50,Female,Zaragoza,Plane,5,36.05,9.0,35.05,Card,Indie,3,Artist E,3.4,4,10,7,No
TCK105757,General,80,2025-02-19,2025-05-03,17:55,Yes,ATD205757,40,Female,Sevilla,Plane,5,9.28,31.41,99.16,Cash,Reggaeton,2,Artist D,9.1,10,2,10,Yes
TCK104652,General,200,2025-04-27,2025-05-02,15:10,No,ATD204652,54,Female,Malaga,Bus,5,27.26,56.65,67.6,Festival App,Electronic,2,Artist E,9.7,4,3,8,Yes
